domain,message,label
support@google.com,Meeting at 5pm,0
admin@bad-site.xyz,URGENT: Send Bitcoin Now,1
invoice-billing-dept-992@gmail.com,"Dear Customer,

This email is to notify you that your Norton 360 Lifetime Protection has been auto-renewed today.

We have successfully charged $399.99 USD from your checking account. This charge will appear on your statement within 24 hours.

If you did not authorize this purchase or wish to cancel for a full refund, you must call our Dispute Department immediately.

CALL HELPLINE: +1 (805) 555-0199

Do not reply to this email as the inbox is not monitored.",1
nike@newsletter.nike.com,"Just Dropped.

Meet the next generation of Air technology. Engineered for comfort, designed for speed.

[Shop The Collection]

Free shipping for Members on orders over $50.

You are receiving this email because you signed up for the Nike Member list. [Unsubscribe] | [Privacy Policy] | [View in Browser]",0
People Ops surveys@surveymonkey-internal-hr.com,"Hi Team,

As we wrap up the year, leadership wants to hear from you. We are conducting a brief, anonymous survey regarding the new hybrid work policy.

Please log in with your company credentials to verify you are an active employee before taking the survey.

[Start Survey]

Deadline: Friday, Dec 15th at 5 PM.

Best, Human Resources",1
Prof. David Chen <dchen@stanford.edu>,"Subject: Extension on Final Paper / Office Hours

Hi Class,

Several of you asked for more time on the final ECON 101 paper. I am extending the deadline to Sunday at 11:59 PM.

I will be holding extra office hours tomorrow in Room 402 from 2 PM to 4 PM if you have questions about the citations.

Best, Prof. Chen",0
service-update-security-882@gmail.com,URGENT: Your account has been locked due to suspicious activity. Click here immediately to verify your identity or your funds will be frozen.,1
promo-winner-notification-dept@yahoo.com,"CONGRATS! You are the lucky winner of the Google Lottery. You have won $1,500,000 USD. Reply with your bank details to claim your prize.",1
hr-dept-hiring-now-remote@hotmail.com,Job Offer: Earn $500/day working from home. No interview required. We need you to print checks and mail letters. Contact us via WhatsApp.,1
billing-invoice-support-center@outlook.com,FINAL NOTICE: Your Norton Antivirus subscription has auto-renewed for $399.99. Call +1-800-555-0199 within 24 hours to dispute this charge.,1
delivery-tracking-help@net-shipping.biz,Your package US-9921 failed delivery. Please pay the $1.99 customs fee to release your item before it is returned to sender.,1
sarah.miller@tech-solutions.com,"Hi Team, attached is the Q3 marketing report we discussed. Please review slide 4 and let me know if the budget numbers look correct before Friday.",0
no-reply@zoom.us,"Zoom Invitation: Weekly Standup Meeting. Time: Dec 12, 2025 09:00 AM Pacific Time. Join via the link below.",0
admissions@stanford.edu,"Dear Applicant, we have received your transcript. Your application is now complete and will be reviewed by the committee. Decisions will be released in March.",0
receipts@uber.com,Thanks for riding with Uber. Total: $14.50. You rode with Michael. Rate your driver in the app.,0
david.chen@consulting-group.com,"Hey, are we still on for lunch tomorrow? Let me know if you need to reschedule.",0
support-verification-team-99@hotmail.com,Apple ID Alert: Your iCloud storage is full. All photos will be permanently deleted in 24 hours unless you upgrade to the 50GB plan for free.,1
ceo-urgent-task-office@gmail.com,"Hi, are you available? I am in a meeting and can't talk. I need you to purchase 5 iTunes gift cards for a client immediately. I will reimburse you.",1
irs-tax-refund-claim-portal.net,IRS Notification: You have a pending tax refund of $450.20. Click the link to update your direct deposit information. This link expires tonight.,1
account-security-alert-fb@outlook.com,"Facebook Security: We detected a login from Russia. If this was not you, click here to secure your account immediately.",1
amazon-order-cancellation-help@gmail.com,"Order #112-9921: You purchased a Sony 65-inch TV for $1,200. Call +1-888-555-0102 to cancel this order if you did not authorize it.",1
reservations@airbnb.com,Your reservation at the Seaside Cottage is confirmed for Dec 20-22. Host: Jessica. Check-in instructions are attached.,0
newsletter@nytimes.com,"Today's Headlines: Tech stocks surge as inflation cools. Plus, a look at the best travel destinations for 2026.",0
billing@spotify.com,"Receipt: You paid $10.99 for Spotify Premium Individual. Your next billing date is January 11, 2026.",0
jason.williams@university-of-texas.edu,"Professor, I submitted my final assignment on Canvas. I just wanted to confirm you received it because my internet was acting up.",0
info@local-library.org,Reminder: The book 'The Great Gatsby' is due back tomorrow. You can renew it online if you need more time.,0
bitcoin-wallet-secure-alert@protonmail.com,Your Bitcoin wallet has been flagged for suspicious transactions. We will suspend your assets in 4 hours. Login immediately to verify ownership.,1
natasha.ivanova.dating@gmail.com,Hello my dear friend. I saw your profile and I think you are very handsome. I am lonely girl from Russia looking for serious relationship. Please reply me.,1
warranty-division-auto-protect@service-car-center.net,FINAL NOTICE: Your vehicle's extended warranty is about to expire. This is your last chance to renew coverage before you are responsible for all repair costs.,1
donation-relief-fund-un@outlook.com,Greetings. I am the executor of the late Mrs. Johnson's estate. She has left $2.5 million to charity and chose you to distribute the funds. Please keep 10% for yourself.,1
security-camera-hacker-alert@darkweb-notice.org,"I have hacked your webcam and recorded you visiting adult websites. If you do not pay $500 in Bitcoin to this address within 24 hours, I will send the video to your contacts.",1
notifications@linkedin.com,"James Smith would like to connect with you on LinkedIn. 'Hi, I came across your profile and would love to connect to discuss potential synergy.'",0
pta-newsletter@school-district.edu,Reminder: The annual Bake Sale is this Saturday at the high school gym. We still need volunteers for the 2 PM shift. Please reply if you can help.,0
orders@dominos.com,"Order Confirmation: Your pizza is being prepped! 1 Large Pepperoni, 1 Cheesy Bread. Estimated delivery time: 30-40 minutes.",0
slack-notifications@slack.com,"New message from Sarah in #marketing: 'Hey everyone, just a heads up that the weekly sync is moved to Thursday due to the holiday.'",0
support@adobe.com,Your Adobe Creative Cloud subscription was successfully renewed. Amount: $52.99. You can download your invoice from your account settings.,0
Gap Factory marketing@gap.com,"Subject: HUGE SALE!! 50% OFF EVERYTHING + FREE SHIPPING!

HURRY! ENDS TONIGHT!

Don't miss out on our biggest event of the year. Get 50% OFF your entire purchase. Plus, use code SHIPFREE for free shipping on all orders over $25.

[SHOP NOW]

Terms and conditions apply.",0
Michael Scott <ceo.office.private88@gmail.com>,"Subject: Re: Project Update

Hi,

I am currently traveling and lost access to my main work email, so I am using my personal account.

Can you please send me the vendor payment details for the pending invoice? I need to review it before I step into my next meeting.

Thanks, Michael Sent from my iPhone",1
Facebook Security <security@facebookmail.com>,"Subject: Login Alert: New login from Chrome on Windows

Hi User,

We noticed a login to your account from a new device.

Device: Chrome on Windows Location: Ashburn, Virginia (Approximate) Time: Just now

If this was you, you can safely ignore this email. If this wasn't you, please check your security settings immediately.

Facebook Security Team",0
security@facebookmail.com,"Security Alert: We noticed a login from a new device (iPhone 15) in Taipei. If this was you, you can ignore this message. If not, check your settings.",0
ceo.private.office99@gmail.com,Re: Vendor Payment. I am currently out of the office and can't access the banking portal. Can you handle the wire transfer for the attached invoice immediately? I'll approve it later.,1
marketing@oldnavy.com,URGENT!! 60% OFF EVERYTHING ENDS TONIGHT! CLICK NOW TO CLAIM YOUR COUPON! DON'T MISS OUT!!!,0
admin@internal-corporate-portal.net,IT Policy Update: All employees must review the new Remote Work Guidelines by Friday. Please log in to the portal to sign the acknowledgment form.,1
updates@twitter.com,"Password Reset Request: Someone requested a password reset for your X (Twitter) account. If this wasn't you, please ignore this email.",0
support@apple-id-verify-secure.com,Your Apple ID has been locked for security reasons. We detected suspicious activity. Verify your identity within 24 hours to restore access.,1
billing@netflix.com,Payment declined: We attempted to charge your card for your monthly subscription but it failed. Please update your payment method to keep watching.,0
sarah.jenkins@consulting-partners-groupp.com,Please find the attached invoice #9921 for last month's services. Note the new bank account details at the bottom of the PDF.,1
alert@chase.com,"Chase Fraud Alert: Did you authorize a transaction of $2,500.00 at Best Buy? Reply YES or NO.",0
natasha.lookingforlove@gmail.com,Hello dear. I saw your profile on LinkedIn and thought you looked very nice. I am looking for a serious penpal. Please write back to me.,1
marketing@oldnavy.com,URGENT!! 60% OFF EVERYTHING ENDS TONIGHT! CLICK NOW TO CLAIM YOUR COUPON! DON'T MISS OUT!!!,0
security@facebookmail.com,"Security Alert: We noticed a login from a new device (iPhone 15). If this was you, you can ignore this message. If not, check your settings.",0
referrals@cash.app,YOU'VE GOT CASH! $15.00 is waiting for you. Invite friends to get even more FREE MONEY! Tap to claim now.,0
safety@discord.com,ACCOUNT DISABLED: Your account has been disabled for violating our Community Guidelines. Check your email for details.,0
recruiting@amazon.com,Action Required: Please complete the candidate assessment for the Warehouse Associate position within 48 hours to proceed with your application.,0
ceo.private.office99@gmail.com,Re: Vendor Payment. I am currently out of the office and can't access the banking portal. Can you handle the wire transfer for the attached invoice immediately? I'll approve it later.,1
admin@internal-corporate-portal.net,IT Policy Update: All employees must review the new Remote Work Guidelines by Friday. Please log in to the portal to sign the acknowledgment form.,1
support@apple-id-verify-secure.com,Your Apple ID has been locked for security reasons. We detected suspicious activity. Verify your identity within 24 hours to restore access.,1
invoice-support@geek-squad-billing.com,INVOICE #9921: Thank you for renewing your annual protection plan. A charge of $399.99 will appear on your statement. Call +1-888-555-0102 to cancel.,1
brand-collab@instagram-influencer-agency.net,Hey! We love your feed and want to send you free jewelry to model. DM us your address and pay a small shipping fee to get started!,1
City Dental Clinic <appointments@citydental.com>,"Hi John,

This is a friendly reminder for your upcoming appointment.

Date: Thursday, Dec 12, 2025

Time: 2:30 PM

Location: 120 Main St, Suite 400

Please remember to bring your insurance card. If you need to reschedule, please call our office at (555) 019-2834 at least 24 hours in advance.

See you soon, City Dental Team",0
sarah.connor@skynet-systems.com,"Hi John, Do you have the slides ready for the 2 PM meeting? I need to review the Q3 numbers before we present to the board. Please drop them in the shared folder. Thanks, Sarah",0
sarah.connor@skynet-systems-exec.com,"John,

Are you available right now?

I am currently stuck in a conference call with the board and can't talk on the phone. I need you to handle a discrete task for me regarding a client gift.

Please reply as soon as you get this.

Sent from my iPad",1
Billing Support <invoice-support-882@gmail.com>,"Thank you for your purchase! We have successfully charged $499.00 from your bank account for the ""Total Security Lifetime Plan"". This charge will appear on your statement within 24 hours. Didn't authorize this payment? If you believe this is a mistake, you must contact our Refund Department immediately to cancel the transaction. Call us now: +1 (800) 123-XXXX or [<u>Click Here to Cancel Order</u>] Regards, Billing Dept.",1
julia.zhang@marketing-agency.com,"Subject: Calendar Invitation: Q4 Marketing Strategy Review

Content:

Topic: Q4 Marketing Strategy Review Time: Thursday, Dec 18, 2025 10:00 AM - 11:00 AM Hi Team, Let's review the campaign performance for last quarter. I have attached the agenda in the calendar file. Join Zoom Meeting: https://us02web.zoom.us/j/883921...?pwd=... See you there, Julia",0
