domain,message,label
boss@company.com.tw,明天開會,0
fake@scam.top,恭喜中獎！請轉帳稅金,1
alert-netflix-billing-team@hotmail.com,"親愛的顧客，

我們無法處理您本期的訂閱費用。這可能是因為您的信用卡已過期或資訊錯誤。

為了避免您的服務中斷，請在 24小時內 更新您的付款方式。若未完成更新，您的帳戶將被永久鎖定。

[點擊這裡更新付款資訊]

我們隨時為您服務， Netflix 客戶支持團隊",1
no-reply@shopee.tw,"親愛的用戶 您好，

您的訂單 250108QW992 已經送達 7-ELEVEN 復興門市。

商品名稱： Logitech 羅技 G304 無線滑鼠 (黑色)

付款金額： NT$ 899

取貨期限： 請於 2025-12-18 前攜帶證件前往取貨。

如果您已經取貨，請忽略此通知。 [查看訂單詳情]",0
ADATA <aplus_reward=adata.com@hubspotstarter.na2.hs-send.com>,"XPG | ADATA
SR800 Magnetic Power Bank SSD
你的全新行動創作新夥伴
電力 × 儲存，一拍即合
 

全新登場
SR800 外接式固態硬碟與行動電源
 

一邊充電、一邊錄影或備份素材， 通通直接存進 SSD。 不必額外攜帶裝備，讓創作流程更順、更自由， 走到哪裡都能放心拍、安心存。

解鎖你的行動工作站 ››

一機搞定
磁吸充電＋錄影備份
 
磁吸充電同時將影片直接存進 SSD，告別厚重裝備，創作流程更輕、更順。


極速傳輸 2000MB/s
 
USB 3.2 Gen2 x2 高速介面，巨量素材即連即編，4K／ProRes 都能流暢處理。


5000mAh 行動續航不斷電
 
支援 20W 有線快充與 15W 磁吸充電，走到哪裡都拍得安心、充得即時。


隱藏式摺疊立架
 
一秒變手機支架，追劇、遊戲、無線充電都更省心。

探索 SR800 全功能 ››
Get Social With Us
Instagram
Facebook
X
LinkedIn
YouTube
ADATA, A+ Member, Reward, Program

取消訂閱 管理偏好設定",1
金門大學天方服務單 <skytek@nqu.edu.tw>,"＊－－－－－－－－－－－－－－－－－－－－－－－－－－＊
＊　這封信發自國立金門大學學校發信平台　　　　　　　　＊
＊　請勿回信寄件者，需要回信請回信〔發訊人Ｅｍａｉｌ〕＊
＊－－－－－－－－－－－－－－－－－－－－－－－－－－＊
林新興女士/先生，您好：

您的掛號郵件/包裹已送達收發室，請儘速撥冗領取，謝謝。

 

※領取注意事項
一、領郵件時間為星期一～星期五上午08:00～12:00；下午13:30～17:30。
二、學生領取掛號、包裹郵件，請出示學生證或身分證；若委託他人領取，代領人需持有雙方之證件始可領件。

系統訊息請勿回信 ＜－回信地址
#id##id#

...",0
reminder@sc-top.org.tw <reminder@sc-top.org.tw>,"考試通知信



您的考試資訊如下：
考生姓名：林新興 KELVIN ADRIAN ORLIN
考試日期：2024/06/02
考試時間：10:00-12:10
考試地點：【金門】國立金門大學 - 圖書資訊大樓一樓101電腦教室
考場地址：金門縣金寧鄉大學路一號
考試等級：(電腦)聽讀測驗 電腦化適性測驗 CAT
座位號碼：046
准考證編號：2406021190303046

請確認您的成績單收件地址:
金門縣金寧鄉大學路1號
如果以上地址不正確，郵件將無法送達，請來信更改(service@sc-top.org.tw)，謝謝

親愛的考生您好，請記得參加TOCFL考試，並且在考試前確認考場的位置。請特別留意考試時間，建議提早半小時抵達考場，切勿遲到；遲到者不得進入考場應試，亦不得申請退費或補考。

 

◎提醒您，請仔細閱讀下面的注意事項：

您這次報考的是電腦化適性測驗(CAT)，詳細測驗介紹請您參考以下連結。CAT 考前須知：https://tocfl.edu.tw/index.php/test/cat/list/5、CAT測驗簡介：https://tocfl.edu.tw/index.php/test/cat/list/1、、CAT證書等級試算：https://tocfl.edu.tw/qrcode/main1_new.html（輸入您的成績，系統會幫您算出證書等級）。
請記得帶「護照」或「居留證」正本參加考試；如果沒有護照或居留證正本，請帶兩張有照片的證件正本，姓名必須與報名資料一樣。如果沒有帶身分證件正本，視同違規，並取消考試資格，不得入場考試。
請記得帶筆，考試可以做筆記。
強烈建議您提前30分鐘到達考場，於指定的測驗時間準時參加考試，遲到超過10分鐘就不可以進教室考試（以考場時鐘為準），遲到者即失去應試資格，不予退費。
進入考場之前，手機請關機，並取消鬧鈴設定，如果發出聲音或震動，成績以零分計算。
電腦操作注意事項：
為了熟悉考試系統，建議您連結華測會網站觀看「聽力測驗、閱讀測驗考試系統操作說明影片」、「線上模擬測驗平台」。
不可以將試題或作答資料帶出試場。
不可以自行開啟任何網頁或電腦軟體，如：Office、Windows Media Player、遊戲或是音樂mp3等等。
如因上述個人操作行為導致測驗無法繼續進行時，該次測驗一律以零分計算，且考生不得要求重新考試或計分，亦不能要求退費。
測驗中途若發生網路中斷、電腦故障或人為操作不當等，造成題目無法完整播放呈現、跳題、測驗系統暫停或登出之情形，考生應立即舉手通知監試人員處理，請考生於現場稍待，勿自行離開，並配合監試人員之處理方式。待問題排除後，重新以考生專屬測驗帳號，或監考人員提供之備用帳號登入後，即可接續先前測驗進度，繼續完成測驗，並不影響先前成績計算，考生不得以測驗中斷為由向本會或監考人員請求重測、退費、損害賠償或為其他請求或任何主張。
如遇停電等不可抗拒之因素需中止考試時，本會將另安排其他考試時間及場地，並公布相關考試訊息，進行補考。若考生無法配合補考時間，可向本會申請退費。
當考生完成測驗時，電腦螢幕即顯示該次測驗成績，但若考生在測驗過程中改以備用帳號登入應試，該成績不具參考價值。正式成績請以考試後20日本會報名系統公告之測驗成績及通過等級為準(http://reg.sc-top.org.tw/)。
成績單會在考試後25日以掛號的方式寄出，若您通過測驗且達取得證書的標準，本會將一併寄上證書。郵寄方式國內外一律為掛號，若須快捷寄件，將另外加收郵資。成績紀錄僅保留二年。
若因地址填寫錯誤造成成績單及證書寄送延遲或遺失，請重新申請加發成績單及證書。
若要更改寄送地址，最慢請於考試後3日內寫信到服務信箱(service@sc-top.org.tw)提出修正。
若要申請正式收據，最慢請於考試後7日內寫信到服務信箱(service@sc-top.org.tw)提出申請，謝謝。
本會保有各項規定文字之最後解釋權，如因本測驗規範所生之訴訟，考生同意以臺灣臺北地方法院為第一審管轄法院。
若於考試當日有緊急狀況急需與我們聯絡，我們的緊急聯絡電話為：02-77498666。



※此信件為系統發出，請勿直接回覆。",0
金門大學天方服務單 <skytek@nqu.edu.tw>,"＊－－－－－－－－－－－－－－－－－－－－－－－－－－＊
＊　這封信發自國立金門大學學校發信平台　　　　　　　　＊
＊　請勿回信寄件者，需要回信請回信〔發訊人Ｅｍａｉｌ〕＊
＊－－－－－－－－－－－－－－－－－－－－－－－－－－＊
林新興 同學，您好：
為精進教師教學及課程品質，請於【114年12月8日(一)09:00至12月28日(日)24:00內登入至校務系統，完成114-1期末教學評量】填寫作業。

完成全部課程問卷者，獎勵措施如下：
1.可優先預選114-2學期課程，詳情請留意課務組、進修推廣中心選課資訊.
2.可參加抽獎活動，各班以電腦隨機抽獎方式抽出1~2名.
詳情請見校網公告或洽詢教資中心。謝謝

系統訊息請勿回信 ＜－回信地址
#id##id#

...",0
財政部稅務入口 <refund-service@mof-gov-tw-service.com>,"主旨：【退稅通知】您有一筆所得稅退稅款項待領取

親愛的納稅人，

根據 113年度的稅務結算，您有一筆金額為 NT$ 6,000 的退稅款項尚未領取。

由於您的銀行帳戶資料不完整，我們無法轉帳。請在 24小時內 點擊下方連結確認您的網銀資料，以便我們立即撥款。

[領取我的退稅款項]

財政部電子申報繳稅服務網",1
PChome 客服 <seller-support-882@yahoo.com.tw>,"主旨：您的訂單已被取消

買家您好，

因為系統錯誤，您剛剛訂購的「Sony 耳機」無法出貨。我們已經取消訂單。

但如果您還想要這個商品，可以用 LINE 私下聯絡我們，我們會給您 9 折優惠並免運費！

請加我的 LINE ID： sony_store_888

PChome 商店街",1
